date,league,season,home_team,away_team,full_time_home_goals,full_time_away_goals,half_time_home_goals,half_time_away_goals,full_time_result,half_time_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_home_win,odds_draw,odds_away_win
2016-08-12,ligue_1,2016-2017,Monaco,Guingamp,2,2,0.0,2.0,D,A,18.0,9.0,4.0,5.0,14.0,15.0,8.0,2.0,3.0,4.0,0.0,0.0,1.62,3.8,5.25
2016-08-12,ligue_1,2016-2017,Bastia,Paris SG,0,1,0.0,0.0,A,D,10.0,9.0,0.0,6.0,15.0,16.0,2.0,6.0,3.0,3.0,0.0,0.0,13.0,4.75,1.29
2016-08-13,premier_league,2016-2017,Burnley,Swansea,0,1,0.0,0.0,A,D,10.0,17.0,3.0,9.0,10.0,14.0,7.0,4.0,3.0,2.0,0.0,0.0,2.4,3.3,3.25
2016-08-13,ligue_1,2016-2017,Montpellier,Angers,1,0,1.0,0.0,H,H,14.0,12.0,3.0,2.0,9.0,12.0,7.0,2.0,1.0,2.0,0.0,0.0,2.1,3.1,4.0
2016-08-13,ligue_1,2016-2017,Caen,Lorient,3,2,2.0,2.0,H,D,15.0,8.0,6.0,2.0,13.0,9.0,10.0,2.0,1.0,2.0,0.0,1.0,2.2,3.25,3.5
2016-08-13,ligue_1,2016-2017,Bordeaux,St Etienne,3,2,1.0,0.0,H,H,10.0,14.0,6.0,5.0,9.0,20.0,3.0,6.0,1.0,2.0,0.0,0.0,2.5,3.1,3.1
2016-08-13,ligue_1,2016-2017,Metz,Lille,3,2,0.0,1.0,H,A,7.0,13.0,3.0,4.0,13.0,9.0,4.0,5.0,2.0,2.0,0.0,0.0,3.4,3.2,2.2
2016-08-13,premier_league,2016-2017,Crystal Palace,West Brom,0,1,0.0,0.0,A,D,14.0,13.0,4.0,3.0,12.0,15.0,3.0,6.0,2.0,2.0,0.0,0.0,2.0,3.3,4.5
2016-08-13,premier_league,2016-2017,Man City,Sunderland,2,1,1.0,0.0,H,H,16.0,7.0,4.0,3.0,11.0,14.0,9.0,6.0,1.0,2.0,0.0,0.0,1.25,6.5,15.0
2016-08-13,premier_league,2016-2017,Everton,Tottenham,1,1,1.0,0.0,D,H,12.0,13.0,6.0,4.0,10.0,14.0,5.0,6.0,0.0,0.0,0.0,0.0,3.2,3.4,2.4
2016-08-13,premier_league,2016-2017,Hull,Leicester,2,1,1.0,0.0,H,H,14.0,18.0,5.0,5.0,8.0,17.0,5.0,3.0,2.0,2.0,0.0,0.0,4.5,3.6,1.91
2016-08-13,premier_league,2016-2017,Middlesbrough,Stoke,1,1,1.0,0.0,D,H,12.0,12.0,2.0,1.0,18.0,14.0,9.0,6.0,3.0,5.0,0.0,0.0,2.38,3.2,3.4
2016-08-13,premier_league,2016-2017,Southampton,Watford,1,1,0.0,1.0,D,A,24.0,5.0,6.0,1.0,8.0,12.0,6.0,2.0,1.0,2.0,0.0,1.0,1.8,3.75,5.0
2016-08-13,ligue_1,2016-2017,Dijon,Nantes,0,1,0.0,0.0,A,D,6.0,10.0,2.0,3.0,6.0,11.0,3.0,4.0,0.0,2.0,0.0,0.0,2.5,3.1,3.1
2016-08-14,premier_league,2016-2017,Arsenal,Liverpool,3,4,1.0,1.0,A,D,9.0,16.0,5.0,7.0,13.0,17.0,5.0,4.0,3.0,3.0,0.0,0.0,2.4,3.5,3.1
2016-08-14,premier_league,2016-2017,Bournemouth,Man United,1,3,0.0,1.0,A,A,9.0,11.0,3.0,7.0,7.0,10.0,4.0,2.0,0.0,1.0,0.0,0.0,4.75,3.6,1.85
2016-08-14,ligue_1,2016-2017,Nice,Rennes,1,0,0.0,0.0,H,D,7.0,19.0,1.0,4.0,12.0,9.0,4.0,8.0,0.0,1.0,0.0,0.0,2.38,3.1,3.25
2016-08-14,ligue_1,2016-2017,Nancy,Lyon,0,3,0.0,2.0,A,A,11.0,9.0,1.0,7.0,18.0,14.0,4.0,4.0,4.0,2.0,0.0,0.0,3.5,3.3,2.15
2016-08-14,ligue_1,2016-2017,Marseille,Toulouse,0,0,0.0,0.0,D,D,10.0,6.0,2.0,2.0,14.0,12.0,9.0,6.0,3.0,1.0,0.0,0.0,2.0,3.3,4.0
2016-08-15,premier_league,2016-2017,Chelsea,West Ham,2,1,0.0,0.0,H,D,16.0,7.0,6.0,3.0,16.0,16.0,7.0,1.0,5.0,2.0,0.0,0.0,1.65,4.0,6.0
2016-08-19,liga,2016-2017,Malaga,Osasuna,1,1,0.0,0.0,D,D,14.0,8.0,4.0,3.0,11.0,22.0,5.0,3.0,2.0,3.0,0.0,0.0,1.62,3.75,6.0
